0.0;create;2;10
1.0;create;3;10
2.0;create;4;10
3.1;open;3;0;0;0
3.2;write;3;0;274280
3.3;close;3
3.4;reset_stats
4.1;open;2;0;0;0
4.2;write;2;0;323584
4.3;close;2
4.4;reset_stats
5.1;open;4;0;0;0
5.3;close;4
5.4;reset_stats
1000.0;open;2;0;0;0
1000.10000014;read;2;0;100
1000.22000003;read;2;100;1024
1000.33000016;read;2;1124;16
1000.44000006;read;2;1140;1024
1000.53999996;read;2;2164;1024
1000.6400001;read;2;3188;1024
1000.74000001;open;3;0;0;0
1001.19000006;write;3;0;512
1001.30999994;write;3;512;4
1001.43000007;write;3;516;1024
1001.53999996;write;3;1540;4
1001.63000011;write;3;1544;4
1001.73000002;write;3;1548;1024
1001.83000016;write;3;2572;4
1002.02999997;open;4;0;0;0
1002.13000011;close;4
1002.23000002;write;3;2576;12
1002.33000016;write;2;0;1024
1002.43000007;write;2;1024;1024
1002.52999997;write;2;2048;1024
1002.63000011;close;3
1002.73000002;read;2;4212;16
1002.83000016;open;3;0;0;0
1002.93000007;write;3;2588;512
1003.02999997;write;3;3100;4
1003.13000011;write;3;3104;1024
1003.24000001;write;3;4128;4
1003.34000015;write;3;4132;4
1003.44000006;write;3;4136;1024
1003.73000002;write;3;5160;4
1003.95000005;open;4;0;0;0
1004.04999995;close;4
1004.17000008;write;3;5164;12
1004.28999996;write;2;3072;1024
1004.4000001;write;2;4096;1024
1004.5;write;2;5120;1024
1004.61000013;close;3
1004.73000002;read;2;4228;16
1004.86000013;open;3;0;0;0
1004.95000005;write;3;5176;512
1005.04999995;write;3;5688;4
1005.1500001;write;3;5692;1024
1005.28999996;write;3;6716;4
1005.45000005;write;3;6720;4
1005.55999994;write;3;6724;1024
1005.66000009;write;3;7748;4
1005.86000013;open;4;0;0;0
1005.96000004;close;4
1006.05999994;write;3;7752;12
1006.16000009;write;2;6144;1024
1006.25999999;write;2;7168;1024
1006.36000013;write;2;8192;1024
1006.46000004;close;3
1006.71000004;read;2;4244;16
1006.83000016;open;3;0;0;0
1006.93000007;write;3;7764;512
1007.02999997;write;3;8276;4
1007.18000007;write;3;8280;1024
1007.29999995;write;3;9304;4
1007.41000009;write;3;9308;4
1007.52999997;write;3;9312;1024
1007.6500001;write;3;10336;4
