#<time_stamp>;<sys_call>;<arguments;>
1400712869.83;close;4;1
1400712869.97;read;3;2292;16;0
1400712870.07;open;4;0;0;0;1
1400712870.17;write;4;23292;512;1
1400712870.27;write;4;23804;4;1
1400712870.37;write;4;23808;1024;1
1400712870.48;write;4;24832;4;1
1400712870.58;write;4;24836;4;1
1400712870.68;write;4;24840;1024;1
1400712870.79;write;4;25864;4;1
1400712870.89;read;4;0;0;1
1400712870.99;open;6;0;0;0;2
1400712871.1;close;6;2
1400712871.2;write;4;25868;12;1
1400712871.35;write;3;27648;1024;0
1400712871.69;write;3;28672;1024;0
1400712871.81;write;3;29696;1024;0
1400712871.92;close;4;1
1400712872.04;read;3;2308;16;0
1400712872.16;open;4;0;0;0;1
1400712872.27;write;4;25880;512;1
1400712872.37;write;4;26392;4;1
1400712872.47;write;4;26396;1024;1
1400712872.58;write;4;27420;4;1
1400712872.68;write;4;27424;4;1
1400712872.78;write;4;27428;1024;1
1400712872.9;write;4;28452;4;1
1400712873.0;read;4;0;0;1
1400712873.1;open;6;0;0;0;2
1400712873.2;close;6;2
1400712873.3;write;4;28456;12;1
1400712873.4;write;3;30720;1024;0
1400712873.5;write;3;31744;1024;0
1400712873.6;write;3;32768;1024;0
1400712873.74;close;4;1
1400712873.85;read;3;2324;16;0
1400712873.95;open;4;0;0;0;1
1400712874.06;write;4;28468;512;1
1400712874.16;write;4;28980;4;1
1400712874.31;write;4;28984;1024;1
1400712874.42;write;4;30008;4;1
1400712874.53;write;4;30012;4;1
1400712874.65;write;4;30016;1024;1
1400712874.76;write;4;31040;4;1
1400712874.86;read;4;0;0;1
1400712874.96;open;6;0;0;0;2
1400712875.06;close;6;2
1400712875.16;write;4;31044;12;1
1400712875.27;write;3;33792;1024;0
1400712875.36;write;3;34816;1024;0
1400712875.47;write;3;35840;1024;0
1400712875.57;close;4;1
1400712875.67;read;3;2340;16;0
1400712875.77;open;4;0;0;0;1
1400712875.87;write;4;31056;512;1
1400712876.0;write;4;31568;4;1
1400712876.14;write;4;31572;1024;1
1400712876.32;write;4;32596;4;1
1400712876.5;write;4;32600;4;1
1400712876.62;write;4;32604;1024;1
1400712876.73;write;4;33628;4;1
1400712876.85;read;4;0;0;1
1400712876.95;open;6;0;0;0;2
1400712877.07;close;6;2
1400712877.18;write;4;33632;12;1
1400712877.28;write;3;36864;1024;0
1400712877.38;write;3;37888;1024;0
1400712877.52;write;3;38912;1024;0
1400712877.62;close;4;1
1400712877.72;read;3;2356;16;0
1400712877.84;open;4;0;0;0;1
1400712877.94;write;4;33644;512;1
1400712878.04;write;4;34156;4;1
1400712878.14;write;4;34160;1024;1
1400712878.24;write;4;35184;4;1
1400712878.34;write;4;35188;4;1
1400712878.44;write;4;35192;1024;1
1400712878.54;write;4;36216;4;1
1400712878.64;read;4;0;0;1
1400712878.74;open;6;0;0;0;2
1400712878.84;close;6;2
1400712878.94;write;4;36220;12;1
1400712879.04;write;3;39936;1024;0
1400712879.15;write;3;40960;1024;0
1400712879.25;write;3;41984;1024;0
1400712879.35;close;4;1
1400712879.46;read;3;2372;16;0
1400712879.56;open;4;0;0;0;1
1400712879.67;write;4;36232;512;1
1400712879.79;write;4;36744;4;1
1400712879.9;write;4;36748;1024;1
1400712880.02;write;4;37772;4;1
1400712880.13;write;4;37776;4;1
1400712880.24;write;4;37780;1024;1
1400712880.34;write;4;38804;4;1
1400712880.44;read;4;0;0;1
1400712880.59;open;6;0;0;0;2
1400712880.69;close;6;2
1400712880.77;write;4;38808;12;1
1400712880.87;write;3;43008;1024;0
1400712881.01;write;3;44032;1024;0
1400712881.11;write;3;45056;1024;0
1400712881.22;close;4;1
1400712881.32;read;3;2388;16;0
1400712881.47;open;4;0;0;0;1
1400712881.57;write;4;38820;512;1
1400712881.67;write;4;39332;4;1
1400712881.77;write;4;39336;1024;1
1400712881.87;write;4;40360;4;1
1400712881.97;write;4;40364;4;1
1400712882.07;write;4;40368;1024;1
1400712882.17;write;4;41392;4;1
1400712882.27;read;4;0;0;1
1400712882.37;open;6;0;0;0;2
1400712882.47;close;6;2
1400712882.57;write;4;41396;12;1
1400712882.67;write;3;46080;1024;0
1400712882.77;write;3;47104;1024;0
1400712882.87;write;3;48128;1024;0
1400712882.97;close;4;1
1400712883.08;read;3;2404;16;0
