#<time_stamp>;<sys_call>;<arguments;>
1400713849.39;open;3;0;0;0;/mnt/flash/test.db
1400713849.48;read;3;0;100;/mnt/flash/test.db
1400713849.59;read;3;100;1024;/mnt/flash/test.db
1400713849.7;read;3;1124;16;/mnt/flash/test.db
1400713849.84;read;3;1140;1024;/mnt/flash/test.db
1400713849.94;read;3;2164;1024;/mnt/flash/test.db
1400713850.04;read;3;3188;1024;/mnt/flash/test.db
1400713850.19;open;4;0;0;0;/mnt/flash/test.db-journal
1400713850.59;write;4;0;512;/mnt/flash/test.db-journal
1400713850.69;write;4;512;4;/mnt/flash/test.db-journal
1400713850.79;write;4;516;1024;/mnt/flash/test.db-journal
1400713850.89;write;4;1540;4;/mnt/flash/test.db-journal
1400713850.99;write;4;1544;4;/mnt/flash/test.db-journal
1400713851.21;write;4;1548;1024;/mnt/flash/test.db-journal
1400713851.31;write;4;2572;4;/mnt/flash/test.db-journal
1400713851.42;read;4;0;0;/mnt/flash/test.db-journal
1400713851.52;open;6;0;0;0;/mnt/flash
1400713851.7;close;6;/mnt/flash
1400713851.8;write;4;2576;12;/mnt/flash/test.db-journal
1400713851.96;write;3;0;1024;/mnt/flash/test.db
1400713852.06;write;3;1024;1024;/mnt/flash/test.db
1400713852.17;write;3;2048;1024;/mnt/flash/test.db
1400713852.28;close;4;/mnt/flash/test.db-journal
1400713852.44;read;3;4212;16;/mnt/flash/test.db
1400713852.56;open;4;0;0;0;/mnt/flash/test.db-journal
1400713852.67;write;4;2588;512;/mnt/flash/test.db-journal
1400713852.78;write;4;3100;4;/mnt/flash/test.db-journal
1400713852.88;write;4;3104;1024;/mnt/flash/test.db-journal
1400713852.98;write;4;4128;4;/mnt/flash/test.db-journal
1400713853.08;write;4;4132;4;/mnt/flash/test.db-journal
1400713853.18;write;4;4136;1024;/mnt/flash/test.db-journal
1400713853.28;write;4;5160;4;/mnt/flash/test.db-journal
1400713853.38;read;4;0;0;/mnt/flash/test.db-journal
1400713853.48;open;6;0;0;0;/mnt/flash
1400713853.69;close;6;/mnt/flash
1400713853.9;write;4;5164;12;/mnt/flash/test.db-journal
1400713854.0;write;3;3072;1024;/mnt/flash/test.db
1400713854.11;write;3;4096;1024;/mnt/flash/test.db
1400713854.21;write;3;5120;1024;/mnt/flash/test.db
1400713854.31;close;4;/mnt/flash/test.db-journal
1400713854.41;read;3;4228;16;/mnt/flash/test.db
1400713854.52;open;4;0;0;0;/mnt/flash/test.db-journal
1400713854.62;write;4;5176;512;/mnt/flash/test.db-journal
1400713854.72;write;4;5688;4;/mnt/flash/test.db-journal
1400713854.82;write;4;5692;1024;/mnt/flash/test.db-journal
1400713854.96;write;4;6716;4;/mnt/flash/test.db-journal
1400713855.06;write;4;6720;4;/mnt/flash/test.db-journal
1400713855.16;write;4;6724;1024;/mnt/flash/test.db-journal
1400713855.26;write;4;7748;4;/mnt/flash/test.db-journal
1400713855.36;read;4;0;0;/mnt/flash/test.db-journal
1400713855.48;open;6;0;0;0;/mnt/flash
1400713855.58;close;6;/mnt/flash
1400713855.68;write;4;7752;12;/mnt/flash/test.db-journal
1400713855.78;write;3;6144;1024;/mnt/flash/test.db
1400713855.89;write;3;7168;1024;/mnt/flash/test.db
1400713856.01;write;3;8192;1024;/mnt/flash/test.db
1400713856.12;close;4;/mnt/flash/test.db-journal
1400713856.22;read;3;4244;16;/mnt/flash/test.db
1400713856.32;open;4;0;0;0;/mnt/flash/test.db-journal
1400713856.46;write;4;7764;512;/mnt/flash/test.db-journal
1400713856.65;write;4;8276;4;/mnt/flash/test.db-journal
1400713856.82;write;4;8280;1024;/mnt/flash/test.db-journal
1400713856.92;write;4;9304;4;/mnt/flash/test.db-journal
1400713857.02;write;4;9308;4;/mnt/flash/test.db-journal
1400713857.12;write;4;9312;1024;/mnt/flash/test.db-journal
1400713857.27;write;4;10336;4;/mnt/flash/test.db-journal
1400713857.37;read;4;0;0;/mnt/flash/test.db-journal
1400713857.47;open;6;0;0;0;/mnt/flash
1400713857.64;close;6;/mnt/flash
1400713857.74;write;4;10340;12;/mnt/flash/test.db-journal
1400713857.84;write;3;9216;1024;/mnt/flash/test.db
1400713858.05;write;3;10240;1024;/mnt/flash/test.db
1400713858.26;write;3;11264;1024;/mnt/flash/test.db
1400713858.39;close;4;/mnt/flash/test.db-journal
1400713858.5;read;3;4260;16;/mnt/flash/test.db
1400713858.6;open;4;0;0;0;/mnt/flash/test.db-journal
1400713858.72;write;4;10352;512;/mnt/flash/test.db-journal
1400713858.84;write;4;10864;4;/mnt/flash/test.db-journal
1400713858.95;write;4;10868;1024;/mnt/flash/test.db-journal
1400713859.07;write;4;11892;4;/mnt/flash/test.db-journal
1400713859.19;write;4;11896;4;/mnt/flash/test.db-journal
1400713859.31;write;4;11900;1024;/mnt/flash/test.db-journal
1400713859.42;write;4;12924;4;/mnt/flash/test.db-journal
1400713859.57;write;4;12928;4;/mnt/flash/test.db-journal
1400713859.67;write;4;12932;1024;/mnt/flash/test.db-journal
1400713859.77;write;4;13956;4;/mnt/flash/test.db-journal
1400713859.87;read;3;4276;1024;/mnt/flash/test.db
1400713859.97;read;3;5300;1024;/mnt/flash/test.db
1400713860.07;write;4;13960;4;/mnt/flash/test.db-journal
1400713860.17;write;4;13964;1024;/mnt/flash/test.db-journal
1400713860.27;write;4;14988;4;/mnt/flash/test.db-journal
1400713860.37;write;4;14992;4;/mnt/flash/test.db-journal
1400713860.47;write;4;14996;1024;/mnt/flash/test.db-journal
1400713860.62;write;4;16020;4;/mnt/flash/test.db-journal
