305.091951220;R;54967;select
305.092286903;R;54913;select
305.092470002;R;54914;select
305.092744652;R;54915;select
305.092897235;R;54916;select
305.093171884;R;54920;select
305.093354984;R;54921;select
305.093507567;R;54922;select
305.093751700;R;54923;select
305.093934800;R;54924;select
318.014649053;R;54967;select
318.014984741;R;54913;select
318.015167843;R;54914;select
318.015442497;R;54915;select
318.015625599;R;54916;select
318.015900252;R;54920;select
318.016052838;R;54921;select
318.016235940;R;54922;select
318.016480076;R;54923;select
318.016663179;R;54924;select
321.415313759;R;54927;select
321.415527380;R;54928;select
321.415802036;R;54930;select
321.415985139;R;54931;select
321.416259794;R;54932;select
321.416503933;R;54934;select
321.416687036;R;54935;select
321.416931174;R;54938;select
321.417114278;R;54939;select
321.417358416;R;54940;select
321.417541519;R;54941;select
321.417724623;R;54942;select
321.417968761;R;54943;select
321.418151865;R;54944;select
321.418304451;R;54945;select
321.418579106;R;54946;select
340.020324883;R;54951;select
340.020538503;R;54952;select
340.020843675;R;54948;select
340.021026778;R;54949;select
340.021209881;R;54950;select
340.021454019;R;54955;select
340.021637122;R;54956;select
340.021881259;R;54916;select
340.022064362;R;54917;select
340.022247466;R;54918;select
340.022491603;R;54952;select
340.022674706;R;54953;select
340.022827292;R;54954;select
340.023071430;R;54959;select
340.023254533;R;54960;select
340.023437636;R;54961;select
340.023681774;R;54924;select
340.023864877;R;54925;select
340.024017463;R;54926;select
340.024292117;R;54958;select
340.024444703;R;54959;select
340.024719358;R;54962;select
340.024871944;R;54963;select
340.025146599;R;54936;select
340.025329702;R;54937;select
340.025482288;R;54938;select
340.025726425;R;54965;select
340.025909529;R;54966;select
340.026153666;R;54919;select
340.026336769;R;54920;select
340.026580907;R;54947;select
340.026764010;R;54948;select
340.027008147;R;54955;select
340.027221768;R;54962;select
340.027435388;R;54967;select
340.027587974;R;54968;select
480.248534619;R;54967;select
480.248839800;R;54913;select
480.249022908;R;54914;select
480.249297571;R;54915;select
480.249480680;R;54916;select
480.249755343;R;54920;select
480.249938451;R;54921;select
480.250091042;R;54922;select
480.250335186;R;54923;select
480.250518295;R;54924;select
