# MTD Statistics
# ==============
# operation;address (page index for R/W, bloc for E);time taken;energy mem;energy cpu
mtd_write;49819;411.5;7.03665e-05;0.000186409
mtd_write;49820;411.5;7.03665e-05;0.000186409
mtd_write;49821;411.5;7.03665e-05;0.000186409
mtd_write;49822;411.5;7.03665e-05;0.000186409
mtd_write;49823;411.5;7.03665e-05;0.000186409
mtd_write;49824;411.5;7.03665e-05;0.000186409
mtd_write;49825;411.5;7.03665e-05;0.000186409
mtd_write;49826;411.5;7.03665e-05;0.000186409
mtd_write;49827;411.5;7.03665e-05;0.000186409
mtd_write;49828;411.5;7.03665e-05;0.000186409
mtd_write;49829;411.5;7.03665e-05;0.000186409
mtd_write;49830;411.5;7.03665e-05;0.000186409
mtd_write;49831;411.5;7.03665e-05;0.000186409
mtd_write;49832;411.5;7.03665e-05;0.000186409
mtd_write;49833;411.5;7.03665e-05;0.000186409
mtd_write;49834;411.5;7.03665e-05;0.000186409
mtd_write;49835;411.5;7.03665e-05;0.000186409
mtd_write;49836;411.5;7.03665e-05;0.000186409
mtd_write;49837;411.5;7.03665e-05;0.000186409
mtd_write;49838;411.5;7.03665e-05;0.000186409
mtd_write;49839;411.5;7.03665e-05;0.000186409
mtd_write;49840;411.5;7.03665e-05;0.000186409
mtd_write;49841;411.5;7.03665e-05;0.000186409
mtd_write;49842;411.5;7.03665e-05;0.000186409
mtd_write;49843;411.5;7.03665e-05;0.000186409
mtd_write;49844;411.5;7.03665e-05;0.000186409
mtd_write;49845;411.5;7.03665e-05;0.000186409
mtd_write;49846;411.5;7.03665e-05;0.000186409
mtd_write;49847;411.5;7.03665e-05;0.000186409
mtd_write;49848;411.5;7.03665e-05;0.000186409
mtd_write;49849;411.5;7.03665e-05;0.000186409
mtd_write;49850;411.5;7.03665e-05;0.000186409
mtd_write;49851;411.5;7.03665e-05;0.000186409
mtd_write;49852;411.5;7.03665e-05;0.000186409
mtd_write;49853;411.5;7.03665e-05;0.000186409
mtd_write;49854;411.5;7.03665e-05;0.000186409
mtd_write;49855;411.5;7.03665e-05;0.000186409
mtd_write;49728;411.5;7.03665e-05;0.000186409
mtd_write;49729;411.5;7.03665e-05;0.000186409
mtd_write;49730;411.5;7.03665e-05;0.000186409
mtd_write;49731;411.5;7.03665e-05;0.000186409
mtd_write;49732;411.5;7.03665e-05;0.000186409
mtd_write;49733;411.5;7.03665e-05;0.000186409
mtd_write;49734;411.5;7.03665e-05;0.000186409
mtd_write;49735;411.5;7.03665e-05;0.000186409
mtd_write;49736;411.5;7.03665e-05;0.000186409
mtd_write;49737;411.5;7.03665e-05;0.000186409
mtd_write;49738;411.5;7.03665e-05;0.000186409
mtd_write;49739;411.5;7.03665e-05;0.000186409
mtd_write;49740;411.5;7.03665e-05;0.000186409
mtd_write;49741;411.5;7.03665e-05;0.000186409
mtd_write;49742;411.5;7.03665e-05;0.000186409
mtd_write;49743;411.5;7.03665e-05;0.000186409
mtd_write;49744;411.5;7.03665e-05;0.000186409
mtd_write;49745;411.5;7.03665e-05;0.000186409
mtd_write;49746;411.5;7.03665e-05;0.000186409
mtd_write;49747;411.5;7.03665e-05;0.000186409
mtd_write;49748;411.5;7.03665e-05;0.000186409
mtd_write;49749;411.5;7.03665e-05;0.000186409
mtd_write;49750;411.5;7.03665e-05;0.000186409
mtd_write;49751;411.5;7.03665e-05;0.000186409
mtd_write;49752;411.5;7.03665e-05;0.000186409
mtd_write;49753;411.5;7.03665e-05;0.000186409
mtd_write;49754;411.5;7.03665e-05;0.000186409
mtd_write;49755;411.5;7.03665e-05;0.000186409
mtd_write;49756;411.5;7.03665e-05;0.000186409
mtd_write;49757;411.5;7.03665e-05;0.000186409
mtd_write;49758;411.5;7.03665e-05;0.000186409
mtd_write;49759;411.5;7.03665e-05;0.000186409
mtd_write;49760;411.5;7.03665e-05;0.000186409
mtd_write;49761;411.5;7.03665e-05;0.000186409
mtd_write;49762;411.5;7.03665e-05;0.000186409
mtd_write;49763;411.5;7.03665e-05;0.000186409
mtd_write;49764;411.5;7.03665e-05;0.000186409
mtd_write;49765;411.5;7.03665e-05;0.000186409
mtd_write;49766;411.5;7.03665e-05;0.000186409
mtd_write;49767;411.5;7.03665e-05;0.000186409
mtd_write;49768;411.5;7.03665e-05;0.000186409
mtd_write;49769;411.5;7.03665e-05;0.000186409
mtd_write;49770;411.5;7.03665e-05;0.000186409
mtd_write;49771;411.5;7.03665e-05;0.000186409
mtd_write;49772;411.5;7.03665e-05;0.000186409
mtd_write;49773;411.5;7.03665e-05;0.000186409
mtd_write;49774;411.5;7.03665e-05;0.000186409
mtd_write;49775;411.5;7.03665e-05;0.000186409
mtd_write;49776;411.5;7.03665e-05;0.000186409
mtd_write;49777;411.5;7.03665e-05;0.000186409
mtd_write;49778;411.5;7.03665e-05;0.000186409
mtd_write;49779;411.5;7.03665e-05;0.000186409
mtd_write;49780;411.5;7.03665e-05;0.000186409
mtd_write;49781;411.5;7.03665e-05;0.000186409
mtd_write;49782;411.5;7.03665e-05;0.000186409
