# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;945;1.78557e-316;1.4822e-323
jffs2_readpage;579;1.78559e-316;1.97626e-323
jffs2_readpage;579;1.78625e-316;2.47033e-323
jffs2_readpage;579;1.78612e-316;2.96439e-323
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;12243.9;6.95329e-310;6.95329e-310
jffs2_readpage;579;1.78691e-316;3.45846e-323
jffs2_readpage;579;1.78717e-316;3.95253e-323
jffs2_readpage;579;1.7845e-316;4.44659e-323
jffs2_readpage;579;1.78091e-316;4.94066e-323
jffs2_readpage;579;1.78629e-316;5.43472e-323
jffs2_readpage;579;1.78581e-316;5.92879e-323
jffs2_readpage;579;1.78573e-316;6.42285e-323
jffs2_readpage;579;1.78433e-316;6.91692e-323
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_readpage;579;1.7872e-316;7.41098e-323
jffs2_readpage;579;1.78732e-316;7.90505e-323
jffs2_readpage;396;1.78588e-316;8.39912e-323
jffs2_readpage;579;1.78427e-316;8.89318e-323
jffs2_readpage;579;1.7862e-316;9.38725e-323
jffs2_readpage;579;1.7868e-316;9.88131e-323
jffs2_readpage;579;1.78276e-316;1.03754e-322
jffs2_readpage;579;1.78732e-316;1.08694e-322
jffs2_readpage;579;1.78585e-316;1.13635e-322
jffs2_readpage;579;1.78689e-316;1.18576e-322
jffs2_readpage;579;1.78449e-316;1.23516e-322
jffs2_readpage;579;1.78422e-316;1.28457e-322
jffs2_readpage;579;1.78675e-316;1.33398e-322
jffs2_readpage;396;1.78423e-316;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;777.5;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;12243.9;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;183;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
jffs2_garbage_collect_pass;1372;6.95329e-310;6.95329e-310
