# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_write_begin;6.8;0;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.44296e-312;9.88131e-324
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;9.88131e-324
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;9.88131e-324
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.44296e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;871;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;2.122e-314;6.95324e-310
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.51777e-320;9.88131e-324
jffs2_write_end;871;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.44296e-312;9.88131e-324
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;9.88131e-324
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;2.55728e-320;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.03554e-320;9.88131e-324
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;9.88131e-324
jffs2_write_end;871;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.46418e-312;9.88131e-324
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.83593e-320;1.4822e-323
jffs2_write_end;871;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;4.244e-314;6.95324e-310
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.46418e-312;9.88131e-324
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;9.88131e-324
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;9.88131e-324
jffs2_write_end;871;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;1.46418e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;48;6.95324e-310;6.95324e-310
jffs2_write_begin;6.8;3.07689e-312;1.4822e-323
jffs2_write_end;459.5;6.95324e-310;6.95324e-310
