# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;1155;1.26315e-316;1.4822e-323
jffs2_readpage;789;1.26329e-316;1.97626e-323
jffs2_readpage;789;1.26331e-316;2.47033e-323
jffs2_readpage;789;1.26333e-316;2.96439e-323
jffs2_garbage_collect_pass;1372;6.95257e-310;6.95257e-310
jffs2_garbage_collect_pass;1372;6.95257e-310;6.95257e-310
jffs2_garbage_collect_pass;777.5;6.95257e-310;6.95257e-310
jffs2_readpage;789;1.26575e-316;2.12448e-322
jffs2_readpage;789;1.26327e-316;3.45846e-323
jffs2_readpage;789;1.2635e-316;3.95253e-323
jffs2_readpage;789;1.26352e-316;4.44659e-323
jffs2_readpage;789;1.26355e-316;4.94066e-323
jffs2_readpage;789;1.26358e-316;5.43472e-323
jffs2_readpage;789;1.26342e-316;5.92879e-323
jffs2_readpage;789;1.26344e-316;6.42285e-323
jffs2_readpage;789;1.26384e-316;6.91692e-323
jffs2_garbage_collect_pass;1372;6.95257e-310;6.95257e-310
jffs2_readpage;789;1.26348e-316;7.41098e-323
jffs2_readpage;789;1.26387e-316;7.90505e-323
jffs2_readpage;789;1.26396e-316;8.39912e-323
jffs2_readpage;789;1.26398e-316;8.89318e-323
jffs2_readpage;789;1.26401e-316;9.38725e-323
jffs2_readpage;789;1.26392e-316;9.88131e-323
jffs2_readpage;789;1.26408e-316;1.03754e-322
jffs2_readpage;789;1.26368e-316;1.08694e-322
jffs2_readpage;789;1.2637e-316;1.13635e-322
jffs2_readpage;789;1.26373e-316;1.18576e-322
jffs2_readpage;789;1.26404e-316;1.23516e-322
jffs2_readpage;789;1.26382e-316;1.28457e-322
jffs2_readpage;789;1.26326e-316;1.33398e-322
jffs2_readpage;789;1.26458e-316;1.38338e-322
jffs2_readpage;789;1.26462e-316;1.43279e-322
jffs2_readpage;789;1.26464e-316;1.4822e-322
jffs2_garbage_collect_pass;183;6.95257e-310;6.95257e-310
jffs2_garbage_collect_pass;183;6.95257e-310;6.95257e-310
jffs2_readpage;789;1.26467e-316;1.5316e-322
