# MTD Statistics
# ==============
# operation;address (page index for R/W, bloc for E);time taken;energy mem;energy cpu
mtd_write;50924;411.5;7.03665e-05;0.000186409
mtd_write;50925;411.5;7.03665e-05;0.000186409
mtd_write;50926;411.5;7.03665e-05;0.000186409
mtd_write;50927;411.5;7.03665e-05;0.000186409
mtd_write;50928;411.5;7.03665e-05;0.000186409
mtd_write;50929;411.5;7.03665e-05;0.000186409
mtd_write;50930;411.5;7.03665e-05;0.000186409
mtd_write;50931;411.5;7.03665e-05;0.000186409
mtd_write;50932;411.5;7.03665e-05;0.000186409
mtd_write;50933;411.5;7.03665e-05;0.000186409
mtd_write;50934;411.5;7.03665e-05;0.000186409
mtd_write;50935;411.5;7.03665e-05;0.000186409
mtd_write;50936;411.5;7.03665e-05;0.000186409
mtd_write;50937;411.5;7.03665e-05;0.000186409
mtd_write;50938;411.5;7.03665e-05;0.000186409
mtd_write;50939;411.5;7.03665e-05;0.000186409
mtd_write;50940;411.5;7.03665e-05;0.000186409
mtd_write;50941;411.5;7.03665e-05;0.000186409
mtd_write;50942;411.5;7.03665e-05;0.000186409
mtd_write;50943;411.5;7.03665e-05;0.000186409
mtd_write;50816;411.5;7.03665e-05;0.000186409
mtd_write;50817;411.5;7.03665e-05;0.000186409
mtd_write;50818;411.5;7.03665e-05;0.000186409
mtd_write;50819;411.5;7.03665e-05;0.000186409
mtd_write;50820;411.5;7.03665e-05;0.000186409
mtd_write;50821;411.5;7.03665e-05;0.000186409
mtd_write;50822;411.5;7.03665e-05;0.000186409
mtd_write;50823;411.5;7.03665e-05;0.000186409
mtd_write;50824;411.5;7.03665e-05;0.000186409
mtd_write;50825;411.5;7.03665e-05;0.000186409
mtd_write;50826;411.5;7.03665e-05;0.000186409
mtd_write;50827;411.5;7.03665e-05;0.000186409
mtd_write;50828;411.5;7.03665e-05;0.000186409
mtd_write;50829;411.5;7.03665e-05;0.000186409
mtd_write;50830;411.5;7.03665e-05;0.000186409
mtd_write;50831;411.5;7.03665e-05;0.000186409
mtd_write;50832;411.5;7.03665e-05;0.000186409
mtd_write;50833;411.5;7.03665e-05;0.000186409
mtd_write;50834;411.5;7.03665e-05;0.000186409
mtd_write;50835;411.5;7.03665e-05;0.000186409
mtd_write;50836;411.5;7.03665e-05;0.000186409
mtd_write;50837;411.5;7.03665e-05;0.000186409
mtd_write;50838;411.5;7.03665e-05;0.000186409
mtd_write;50839;411.5;7.03665e-05;0.000186409
mtd_write;50840;411.5;7.03665e-05;0.000186409
mtd_write;50841;411.5;7.03665e-05;0.000186409
mtd_write;50842;411.5;7.03665e-05;0.000186409
mtd_write;50843;411.5;7.03665e-05;0.000186409
mtd_write;50844;411.5;7.03665e-05;0.000186409
mtd_write;50845;411.5;7.03665e-05;0.000186409
mtd_write;50846;411.5;7.03665e-05;0.000186409
mtd_write;50847;411.5;7.03665e-05;0.000186409
mtd_write;50848;411.5;7.03665e-05;0.000186409
mtd_write;50849;411.5;7.03665e-05;0.000186409
mtd_write;50850;411.5;7.03665e-05;0.000186409
mtd_write;50851;411.5;7.03665e-05;0.000186409
mtd_write;50852;411.5;7.03665e-05;0.000186409
mtd_write;50853;411.5;7.03665e-05;0.000186409
mtd_write;50854;411.5;7.03665e-05;0.000186409
mtd_write;50855;411.5;7.03665e-05;0.000186409
mtd_write;50856;411.5;7.03665e-05;0.000186409
mtd_write;50857;411.5;7.03665e-05;0.000186409
mtd_write;50858;411.5;7.03665e-05;0.000186409
mtd_write;50859;411.5;7.03665e-05;0.000186409
mtd_write;50860;411.5;7.03665e-05;0.000186409
mtd_write;50861;411.5;7.03665e-05;0.000186409
mtd_write;50862;411.5;7.03665e-05;0.000186409
mtd_write;50863;411.5;7.03665e-05;0.000186409
mtd_write;50864;411.5;7.03665e-05;0.000186409
mtd_write;50865;411.5;7.03665e-05;0.000186409
mtd_write;50866;411.5;7.03665e-05;0.000186409
mtd_write;50867;411.5;7.03665e-05;0.000186409
mtd_write;50868;411.5;7.03665e-05;0.000186409
mtd_write;50869;411.5;7.03665e-05;0.000186409
mtd_write;50870;411.5;7.03665e-05;0.000186409
mtd_write;50871;411.5;7.03665e-05;0.000186409
