# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;789;9.87385e-317;4.94066e-322
jffs2_readpage;789;9.8724e-317;4.99006e-322
jffs2_readpage;789;9.87212e-317;5.03947e-322
jffs2_readpage;789;9.87231e-317;5.08888e-322
jffs2_readpage;789;9.8729e-317;5.13828e-322
jffs2_readpage;789;9.8718e-317;5.18769e-322
jffs2_readpage;789;9.94295e-317;5.2371e-322
jffs2_readpage;789;9.93779e-317;5.2865e-322
jffs2_readpage;789;9.9451e-317;5.33591e-322
jffs2_readpage;789;9.94537e-317;5.38532e-322
jffs2_readpage;789;9.94567e-317;5.43472e-322
jffs2_readpage;789;9.94597e-317;5.48413e-322
jffs2_readpage;789;9.9467e-317;5.53354e-322
jffs2_readpage;789;9.94692e-317;5.58294e-322
jffs2_readpage;789;9.94836e-317;5.63235e-322
jffs2_readpage;789;9.9487e-317;5.68175e-322
jffs2_readpage;789;9.94896e-317;5.73116e-322
jffs2_readpage;789;9.94633e-317;5.78057e-322
jffs2_readpage;1521;9.94979e-317;5.92879e-322
jffs2_readpage;789;9.94987e-317;5.97819e-322
jffs2_readpage;789;9.9504e-317;6.0276e-322
jffs2_readpage;789;9.95068e-317;6.07701e-322
jffs2_readpage;789;9.92447e-317;6.12641e-322
jffs2_readpage;789;9.92553e-317;6.17582e-322
jffs2_readpage;789;9.82127e-317;6.22523e-322
jffs2_readpage;789;9.92183e-317;6.27463e-322
jffs2_readpage;789;9.92571e-317;6.32404e-322
jffs2_readpage;789;9.92359e-317;6.37345e-322
jffs2_readpage;789;9.9222e-317;6.42285e-322
jffs2_readpage;789;9.95017e-317;6.47226e-322
jffs2_readpage;789;9.95061e-317;6.52167e-322
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.87715e-317;6.57107e-322
jffs2_readpage;789;9.92467e-317;6.62048e-322
jffs2_readpage;789;9.87495e-317;6.66989e-322
jffs2_readpage;789;9.89051e-317;6.71929e-322
jffs2_readpage;789;9.87527e-317;6.7687e-322
jffs2_readpage;789;9.89013e-317;6.81811e-322
jffs2_readpage;789;9.95113e-317;6.86751e-322
jffs2_readpage;789;9.95228e-317;6.91692e-322
jffs2_readpage;789;9.95259e-317;6.96633e-322
jffs2_readpage;789;9.95291e-317;7.01573e-322
jffs2_readpage;789;9.95321e-317;7.06514e-322
jffs2_readpage;789;9.95208e-317;7.11455e-322
jffs2_readpage;789;9.95424e-317;7.16395e-322
jffs2_readpage;789;9.95464e-317;7.21336e-322
jffs2_readpage;789;9.952e-317;7.26276e-322
jffs2_readpage;789;9.95485e-317;7.31217e-322
jffs2_readpage;789;9.95545e-317;7.36158e-322
jffs2_readpage;789;9.95579e-317;7.41098e-322
jffs2_readpage;789;9.95526e-317;7.46039e-322
jffs2_readpage;789;9.95648e-317;7.5098e-322
jffs2_readpage;789;9.95672e-317;7.5592e-322
jffs2_readpage;789;9.95687e-317;7.60861e-322
jffs2_readpage;1521;9.9576e-317;7.75683e-322
jffs2_readpage;789;9.95618e-317;7.80624e-322
jffs2_readpage;789;9.95836e-317;7.85564e-322
jffs2_readpage;789;9.95863e-317;7.90505e-322
jffs2_readpage;789;9.95957e-317;8.00386e-322
jffs2_readpage;789;9.95981e-317;8.05327e-322
jffs2_readpage;789;9.96012e-317;8.10268e-322
jffs2_readpage;789;9.95478e-317;8.15208e-322
jffs2_readpage;789;9.85657e-317;8.20149e-322
jffs2_readpage;789;9.95708e-317;8.2509e-322
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;777.5;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;183;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.8813e-317;8.3003e-322
