#<time_stamp>;<sys_call>;<arguments;>;<file_name>;<elapsed>
1400733682.3;open;3;0;0;0;/mnt/flash/test.db;0.000122
1400733683.03;read;3;0;100;/mnt/flash/test.db;0.000488
1400733684.17;read;3;0;1024;/mnt/flash/test.db;0.000092
1400733685.3;read;3;24;16;/mnt/flash/test.db;0.000092
1400733686.5;read;3;1024;1024;/mnt/flash/test.db;0.000091
1400733686.87;open;4;0;0;0;/mnt/flash/test.db-journal;0.000274
1400733687.88;write;4;0;512;/mnt/flash/test.db-journal;0.000275
1400733688.08;write;4;512;4;/mnt/flash/test.db-journal;0.000183
1400733688.28;write;4;516;1024;/mnt/flash/test.db-journal;0.000213
1400733688.59;write;4;1540;4;/mnt/flash/test.db-journal;0.000183
1400733689.54;write;4;1544;4;/mnt/flash/test.db-journal;0.000184
1400733689.74;write;4;1548;1024;/mnt/flash/test.db-journal;0.000244
1400733689.97;write;4;2572;4;/mnt/flash/test.db-journal;0.000183
1400733690.49;read;4;3072;0;/mnt/flash/test.db-journal;0.000091
1400733690.7;open;6;0;0;0;/mnt/flash;0.000122
1400733691.01;close;6;/mnt/flash;0.000091
1400733691.25;write;4;0;12;/mnt/flash/test.db-journal;0.000213
1400733691.63;write;3;0;1024;/mnt/flash/test.db;0.000275
1400733691.88;write;3;1024;1024;/mnt/flash/test.db;0.000397
1400733692.29;close;4;/mnt/flash/test.db-journal;0.000123
1400733694.07;read;3;24;16;/mnt/flash/test.db;0.000091
1400733695.15;open;4;0;0;0;/mnt/flash/test.db-journal;0.000245
1400733695.93;write;4;0;512;/mnt/flash/test.db-journal;0.000245
1400733696.13;write;4;512;4;/mnt/flash/test.db-journal;0.000183
1400733696.34;write;4;516;1024;/mnt/flash/test.db-journal;0.000397
1400733696.59;write;4;1540;4;/mnt/flash/test.db-journal;0.000183
1400733696.88;write;4;1544;4;/mnt/flash/test.db-journal;0.000184
1400733697.09;write;4;1548;1024;/mnt/flash/test.db-journal;0.000305
1400733697.33;write;4;2572;4;/mnt/flash/test.db-journal;0.000244
1400733697.77;read;4;3072;0;/mnt/flash/test.db-journal;0.000061
1400733697.97;open;6;0;0;0;/mnt/flash;0.000122
1400733698.24;close;6;/mnt/flash;0.000091
1400733698.5;write;4;0;12;/mnt/flash/test.db-journal;0.000213
1400733698.83;write;3;0;1024;/mnt/flash/test.db;0.000305
1400733699.11;write;3;1024;1024;/mnt/flash/test.db;0.000397
1400733699.38;write;3;2048;1024;/mnt/flash/test.db;0.000367
1400733699.58;write;3;3072;1024;/mnt/flash/test.db;0.001068
1400733699.82;close;4;/mnt/flash/test.db-journal;0.000092
1400733701.2;read;3;24;16;/mnt/flash/test.db;0.000092
1400733702.23;open;4;0;0;0;/mnt/flash/test.db-journal;0.000244
1400733702.91;write;4;0;512;/mnt/flash/test.db-journal;0.000244
1400733703.18;write;4;512;4;/mnt/flash/test.db-journal;0.000183
1400733703.38;write;4;516;1024;/mnt/flash/test.db-journal;0.000397
