# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;1155;6.98742e-317;1.4822e-323
jffs2_readpage;789;6.98879e-317;1.97626e-323
jffs2_readpage;789;6.98905e-317;2.47033e-323
jffs2_readpage;789;6.98925e-317;2.96439e-323
jffs2_garbage_collect_pass;1372;6.9526e-310;6.9526e-310
jffs2_garbage_collect_pass;1372;6.9526e-310;6.9526e-310
jffs2_garbage_collect_pass;777.5;6.9526e-310;6.9526e-310
jffs2_readpage;789;7.01338e-317;2.12448e-322
jffs2_readpage;789;6.98863e-317;3.45846e-323
jffs2_readpage;789;6.99096e-317;3.95253e-323
jffs2_readpage;789;6.99116e-317;4.44659e-323
jffs2_readpage;789;6.99146e-317;4.94066e-323
jffs2_readpage;789;6.99171e-317;5.43472e-323
jffs2_readpage;789;6.9901e-317;5.92879e-323
jffs2_readpage;789;6.9903e-317;6.42285e-323
jffs2_readpage;789;6.99433e-317;6.91692e-323
jffs2_garbage_collect_pass;1372;6.9526e-310;6.9526e-310
jffs2_readpage;789;6.99074e-317;7.41098e-323
jffs2_readpage;789;6.99458e-317;7.90505e-323
jffs2_readpage;789;6.99548e-317;8.39912e-323
jffs2_readpage;789;6.9957e-317;8.89318e-323
jffs2_readpage;789;6.99598e-317;9.38725e-323
jffs2_readpage;789;6.99509e-317;9.88131e-323
jffs2_readpage;789;6.99668e-317;1.03754e-322
jffs2_readpage;789;6.99276e-317;1.08694e-322
jffs2_readpage;789;6.99296e-317;1.13635e-322
jffs2_readpage;789;6.99322e-317;1.18576e-322
jffs2_readpage;789;6.99629e-317;1.23516e-322
jffs2_readpage;789;6.99407e-317;1.28457e-322
jffs2_readpage;789;6.98848e-317;1.33398e-322
jffs2_readpage;789;7.00172e-317;1.38338e-322
jffs2_readpage;789;7.0021e-317;1.43279e-322
jffs2_readpage;789;7.00236e-317;1.4822e-322
jffs2_garbage_collect_pass;183;6.9526e-310;6.9526e-310
jffs2_garbage_collect_pass;183;6.9526e-310;6.9526e-310
jffs2_readpage;789;7.00262e-317;1.5316e-322
jffs2_readpage;789;6.92138e-317;1.58101e-322
